camera 20 80 300  0 40 0
size 3
sphere 1000  0 -1000 0  0 0 0     0.75 0.75 0.75  0
sphere 15    0 30 0     0 0 0     0.9 0.9 0.9     2
sphere 15     0 100 0     15 15 15  0 0 0           0
camera 20 100 300  0 25 0
size 5
sphere 1000  0 -1000 0  0 0 0     0.75 0.75 0.75  0
sphere 10    35 15 0    0 0 0     0.9 0 0         2
sphere 15    -35 20 0   0 0 0     0 0.9 0         2
sphere 20    0 25 -35   0 0 0     0 0 0.9         2
sphere 8     0 60 0     15 15 15  0 0 0           0
camera 20 80 150  0 15 0
size 783
sphere 8     50 80 90   25 25 25  0 0 0           0
sphere 10000  0 -10050 0  0 0 0     0.75 0.75 0.75  0
sphere 15 0 0 0 0 0 0 0.75 0 0 0
sphere 7.5 -22.5 0 0 0 0 0 0.5625 0 0.1875 0
sphere 3.75 -33.75 0 0 0 0 0 0.375 0 0.375 0
sphere 1.875 -39.375 0 0 0 0 0 0.1875 0 0.5625 0
sphere 0.9375 -42.1875 0 0 0 0 0 0 0 0.75 0
sphere 0.9375 -39.375 -2.8125 0 0 0 0 0 0 0.75 0
sphere 0.9375 -39.375 2.8125 0 0 0 0 0 0 0.75 0
sphere 0.9375 -39.375 0 -2.8125 0 0 0 0 0 0.75 0
sphere 0.9375 -39.375 0 2.8125 0 0 0 0 0 0.75 0
sphere 1.875 -33.75 -5.625 0 0 0 0 0.1875 0 0.5625 0
sphere 0.9375 -36.5625 -5.625 0 0 0 0 0 0 0.75 0
sphere 0.9375 -30.9375 -5.625 0 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 -8.4375 0 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 -5.625 -2.8125 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 -5.625 2.8125 0 0 0 0 0 0.75 0
sphere 1.875 -33.75 5.625 0 0 0 0 0.1875 0 0.5625 0
sphere 0.9375 -36.5625 5.625 0 0 0 0 0 0 0.75 0
sphere 0.9375 -30.9375 5.625 0 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 8.4375 0 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 5.625 -2.8125 0 0 0 0 0 0.75 0
sphere 0.9375 -33.75 5.625 2.8125 0 0 0 0 0 0.75 0
sphere 1.875 -33.75 0 -5.625 0 0 0 0.1875 0 0.5625 0
sphere 0.9375 -36.5625 0 -5.625 0 0 0 0 0 0.75 0
sphere 0.9375 -30.9375 0 -5.625 0 0 0 0 0 0.75 0
